BBL,borough,address,postcode,latitude,longitude,bldg_age,prediction_for_year,predicted_job
1006050038,Manhattan,477 HUDSON STREET,10014,40.7321427,-74.0070648,196,2024,Demolition
1007900011,Manhattan,143 WEST 14 STREET,10011,40.7385163,-73.998488,45,2024,Demolition
1007990024,Manhattan,131 WEST 23 STREET,10011,40.7436735,-73.9935727,98,2024,Demolition
1008590060,Manhattan,32 EAST 30 STREET,10016,40.7446387,-73.9843195,121,2024,Demolition
1009627501,Manhattan,433 EAST 30 STREET,10016,40.7435471,-73.9734175,123,2024,Demolition
1009990003,Manhattan,155 WEST 46 STREET,10036,40.7585738,-73.9844317,98,2024,Demolition
1010810080,Manhattan,549 WEST 52 STREET,10019,40.767001,-73.9928304,93,2024,Demolition
1012200005,Manhattan,175 WEST 89 STREET,10024,40.7895598,-73.972908,131,2024,Demolition
1014120058,Manhattan,130 EAST 78 STREET,10075,40.7741416,-73.9599491,113,2024,Demolition
2024100044,Bronx,579 COURTLANDT AVENUE,10451,40.817542,-73.9193582,96,2024,Demolition
2025220057,Bronx,1392 OGDEN AVENUE,10452,40.8424697,-73.9237698,92,2024,Demolition
2025780015,Bronx,431 CONCORD AVENUE,10455,40.8101212,-73.9095233,92,2024,Demolition
2026000096,Bronx,860 EAST 147 STREET,10455,40.8102548,-73.9049932,124,2024,Demolition
2026120007,Bronx,1276 FULTON AVENUE,10456,40.8314288,-73.9031778,96,2024,Demolition
2027630139,Bronx,758 MANIDA STREET,10474,40.8159984,-73.8884964,82,2024,Demolition
2029580074,Bronx,1820 WATERLOO PLACE,10460,40.8401675,-73.8875705,113,2024,Demolition
2030280044,Bronx,4289 PARK AVENUE,10457,40.8496937,-73.8987162,115,2024,Demolition
2030430077,Bronx,521 EAST TREMONT AVENUE,10457,40.8470623,-73.8964178,92,2024,Demolition
2031110037,Bronx,2130 MAPES AVENUE,10460,40.8474049,-73.8844245,124,2024,Demolition
2039900066,Bronx,1629 PARKER STREET,10462,40.8389961,-73.8517108,103,2024,Demolition
2042090030,Bronx,1958 EASTCHESTER ROAD,10461,40.8522886,-73.8432517,73,2024,Demolition
2044110300,Bronx,1770 STILLWELL AVENUE,10469,40.8579588,-73.833203,80,2024,Demolition
2045540013,Bronx,2931 BOSTON ROAD,10469,40.8684673,-73.8592559,33,2024,Demolition
2046510027,Bronx,3750 WILLETT AVENUE,10467,40.8831135,-73.8643132,103,2024,Demolition
2047280042,Bronx,3450 KINGSLAND AVENUE,10469,40.8783213,-73.844738,59,2024,Demolition
2048630006,Bronx,971 EAST 227 STREET,10466,40.8868249,-73.8513908,96,2024,Demolition
2049860023,Bronx,4058 HILL AVENUE,10466,40.89257,-73.8394349,103,2024,Demolition
2055160215,Bronx,16B EDGEWATER PARK,10465,40.8245019,-73.8075536,98,2024,Demolition
2055170061,Bronx,2B EDGEWATER PARK,10465,40.8234808,-73.8075204,103,2024,Demolition
2055170101,Bronx,1A EDGEWATER PARK,10465,40.8227421,-73.8072949,98,2024,Demolition
2057120070,Bronx,3014 IRWIN AVENUE,10463,40.8807645,-73.9095429,93,2024,Demolition
2058141401,Bronx,231 WEST 246 STREET,10471,40.8936577,-73.8981175,79,2024,Demolition
2058363101,Bronx,231 WEST 252 STREET,10471,40.8978939,-73.8993879,42,2024,Demolition
2058394001,Bronx,5050 ISELIN AVENUE,10471,40.8993257,-73.9048297,99,2024,Demolition
3006550031,Brooklyn,500 25TH STREET,11232,40.6591431,-73.9962588,128,2024,Demolition
3006570023,Brooklyn,166 26 STREET,11232,40.6604085,-73.9998775,113,2024,Demolition
3015690025,Brooklyn,1342 HERKIMER STREET,11233,40.6772145,-73.9091412,91,2024,Demolition
3018170035,Brooklyn,182 MONROE STREET,11216,40.6850685,-73.9520089,124,2024,Demolition
3020160037,Brooklyn,1120 FULTON STREET,11238,40.6809887,-73.956295,93,2024,Demolition
3020230150,Brooklyn,22 FLUSHING AVENUE,11251,40.6991925,-73.965667,82,2024,Demolition
3032730006,Brooklyn,1205 BROADWAY,11221,40.6924056,-73.9266567,103,2024,Demolition
3033230007,Brooklyn,395 EVERGREEN AVENUE,11221,40.6929068,-73.9207999,92,2024,Demolition
3033680031,Brooklyn,452 CENTRAL AVENUE,11221,40.6923678,-73.9155538,92,2024,Demolition
3039340050,Brooklyn,2813 FULTON STREET,11207,40.6783952,-73.8906986,92,2024,Demolition
3039760114,Brooklyn,53 MONTAUK AVENUE CIR,11208,40.6781993,-73.8786609,113,2024,Demolition
3039860022,Brooklyn,400 LINWOOD STREET,11208,40.6756789,-73.8833125,98,2024,Demolition
3042900012,Brooklyn,437 FORBELL STREET,11208,40.6717276,-73.8621188,103,2024,Demolition
3047930022,Brooklyn,560 EAST NEW YORK AVENUE,11225,40.6617426,-73.9441609,92,2024,Demolition
3048370068,Brooklyn,359 LENOX ROAD,11226,40.654649,-73.9476303,122,2024,Demolition
3048910033,Brooklyn,312 EAST 38 STREET,11203,40.6496233,-73.9420088,73,2024,Demolition
3051050004,Brooklyn,837 ROGERS AVENUE,11226,40.6501934,-73.9521241,92,2024,Demolition
3052940034,Brooklyn,1274 38 STREET,11218,40.6412518,-73.9862643,122,2024,Demolition
3054240029,Brooklyn,250 NEWKIRK AVENUE,11230,40.6321469,-73.9697798,90,2024,Demolition
3054580054,Brooklyn,1559 51 STREET,11219,40.6305253,-73.9872248,103,2024,Demolition
3054950909,Brooklyn,1032 OCEAN PARKWAY,11230,40.6232898,-73.9709546,88,2024,Demolition
3062560001,Brooklyn,1301 79 STREET,11228,40.6179572,-74.009286,92,2024,Demolition
3067090036,Brooklyn,1605 AVENUE J,11230,40.6258392,-73.9600237,60,2024,Demolition
3072450029,Brooklyn,651 BANNER AVENUE,11235,40.5834985,-73.9615179,78,2024,Demolition
3074050907,Brooklyn,3612 NOSTRAND AVENUE,11229,40.5955835,-73.9413176,74,2024,Demolition
3076070008,Brooklyn,3211 BEDFORD AVENUE,11210,40.6241449,-73.9508963,35,2024,Demolition
3076650079,Brooklyn,2925 AVENUE N,11210,40.6174808,-73.945455,92,2024,Demolition
3086660652,Brooklyn,2909 BRIGHTON 6 STREET,11235,40.581119,-73.9624733,95,2024,Demolition
3086760046,Brooklyn,624 OCEAN VIEW AVENUE,11235,40.579513,-73.9613762,92,2024,Demolition
3086780009,Brooklyn,3069 BRIGHTON 8 STREET,11235,40.578272,-73.9605489,124,2024,Demolition
4003040008,Queens,52-13 35 STREET,11101,40.7358029,-73.9356263,103,2024,Demolition
4005760036,Queens,27-10 30 AVENUE,11102,40.7678683,-73.9240574,60,2024,Demolition
4012230056,Queens,65-28 38 AVENUE,11377,40.7467599,-73.8975482,98,2024,Demolition
4025350006,Queens,53-05 44 STREET,11378,40.7323833,-73.9227664,113,2024,Demolition
4025380031,Queens,54-72 46 STREET,11378,40.729773,-73.9227838,93,2024,Demolition
4027740028,Queens,66-36 GRAND AVENUE,11378,40.7243542,-73.8973373,98,2024,Demolition
4030700090,Queens,79-41 METROPOLITAN AVENUE,11379,40.7134961,-73.8727819,123,2024,Demolition
4031680001,Queens,67-25 AUSTIN STREET,11375,40.7240063,-73.85464,73,2024,Demolition
4033350040,Queens,80-24 AUSTIN STREET,11415,40.7122735,-73.8331491,113,2024,Demolition
4035890068,Queens,59-13 DECATUR STREET,11385,40.6994342,-73.8970186,92,2024,Demolition
4040100044,Queens,11-20 131 STREET,11356,40.7872775,-73.8376413,98,2024,Demolition
4043170001,Queens,121-16 28 AVENUE,11354,40.7727925,-73.8469264,70,2024,Demolition
4045490001,Queens,12-40 157 STREET,11357,40.7901802,-73.8049335,92,2024,Demolition
4049490069,Queens,33-43 PRINCE STREET,11354,40.7654091,-73.833016,65,2024,Demolition
4051830055,Queens,143-17 FRANKLIN AVENUE,11355,40.7578905,-73.8215347,41,2024,Demolition
4053790024,Queens,42-66 149 STREET,11355,40.7584531,-73.8145377,69,2024,Demolition
4059610033,Queens,26-19 FRANCIS LEWIS BLVD,11358,40.7726343,-73.7945833,66,2024,Demolition
4060240036,Queens,32-11 FRANCIS LEWIS BLVD,11358,40.7687198,-73.7912776,92,2024,Demolition
4079010037,Queens,80-30 CROSS ISLD PKWY SR S,11426,40.7399344,-73.726463,68,2024,Demolition
4093200129,Queens,112-21 ATLANTIC AVENUE,11418,40.6929202,-73.8331831,103,2024,Demolition
4093920008,Queens,108-20 ATLANTIC AVENUE,11419,40.6912893,-73.8366706,93,2024,Demolition
4098927501,Queens,173-53 CROYDON ROAD,11432,40.7173907,-73.7901036,57,2024,Demolition
4099310029,Queens,148-10 HILLSIDE AVENUE,11432,40.7138564,-73.7774715,98,2024,Demolition
4102040012,Queens,111-10 167 STREET,11433,40.6927597,-73.7845016,98,2024,Demolition
4106270048,Queens,214-13 93 AVENUE,11428,40.719839,-73.7452109,103,2024,Demolition
4108730040,Queens,100-49 205 PLACE,11423,40.7105215,-73.7532253,93,2024,Demolition
4110100011,Queens,194-12 MURDOCK AVENUE,11412,40.6983983,-73.759942,103,2024,Demolition
4110660001,Queens,194-15 LINDEN BOULEVARD,11412,40.693312,-73.7572305,103,2024,Demolition
